Исходные значения,Знак,Диапазон,По возрастанию,По убыванию
2911,Положительное,2000..2999,2418,-1877
9395,Положительное,9000..10000,2422,-1898
8493,Положительное,8000..8999,2423,-1899
-9112,Отрицательное,-10000..-9001,2423,-1919
-7250,Отрицательное,-8000..-7001,2433,-1933
4044,Положительное,4000..4999,2449,-1956
-5554,Отрицательное,-6000..-5001,2455,-1976
5128,Положительное,5000..5999,2464,-1977
-4046,Отрицательное,-5000..-4001,2464,-1979
-8353,Отрицательное,-9000..-8001,2504,-1996
-1476,Отрицательное,-2000..-1001,2535,-2006
2422,Положительное,2000..2999,2551,-2010
726,Положительное,0..999,2569,-2014
-3065,Отрицательное,-4000..-3001,2582,-2028
4899,Положительное,4000..4999,2608,-2038
710,Положительное,0..999,2622,-2043
1059,Положительное,1000..1999,2742,-2092
2423,Положительное,2000..2999,2762,-2108
-883,Отрицательное,-1000..-1,2779,-2126
3813,Положительное,3000..3999,2793,-2141
-1734,Отрицательное,-2000..-1001,2911,-2154
-7317,Отрицательное,-8000..-7001,2964,-2159
5411,Положительное,5000..5999,2969,-2161
-9365,Отрицательное,-10000..-9001,2997,-2179
7675,Положительное,7000..7999,3056,-2184
-8294,Отрицательное,-9000..-8001,3074,-2202
1467,Положительное,1000..1999,3087,-2243
-2653,Отрицательное,-3000..-2001,3095,-2255
-7752,Отрицательное,-8000..-7001,3096,-2293
-8681,Отрицательное,-9000..-8001,3122,-2304
-8984,Отрицательное,-9000..-8001,3130,-2317
-1898,Отрицательное,-2000..-1001,3141,-2352
-3468,Отрицательное,-4000..-3001,3145,-2372
-9333,Отрицательное,-10000..-9001,3185,-2377
-5007,Отрицательное,-6000..-5001,3189,-2415
-2184,Отрицательное,-3000..-2001,3193,-2423
-5864,Отрицательное,-6000..-5001,3230,-2446
5517,Положительное,5000..5999,3244,-2460
-6252,Отрицательное,-7000..-6001,3248,-2495
8480,Положительное,8000..8999,3251,-2499
-2858,Отрицательное,-3000..-2001,3306,-2499
5238,Положительное,5000..5999,3316,-2533
-1604,Отрицательное,-2000..-1001,3317,-2543
2087,Положительное,2000..2999,3317,-2546
-4502,Отрицательное,-5000..-4001,3338,-2605
9853,Положительное,9000..10000,3356,-2634
9898,Положительное,9000..10000,3369,-2638
-6247,Отрицательное,-7000..-6001,3380,-2638
-4634,Отрицательное,-5000..-4001,3382,-2639
192,Положительное,0..999,3386,-2653
-6458,Отрицательное,-7000..-6001,3470,-2686
8962,Положительное,8000..8999,3488,-2696
-9159,Отрицательное,-10000..-9001,3491,-2712
222,Положительное,0..999,3510,-2739
8867,Положительное,8000..8999,3541,-2774
2298,Положительное,2000..2999,3580,-2777
2997,Положительное,2000..2999,3594,-2784
-3502,Отрицательное,-4000..-3001,3596,-2804
-7510,Отрицательное,-8000..-7001,3614,-2810
9401,Положительное,9000..10000,3624,-2814
-2043,Отрицательное,-3000..-2001,3637,-2830
-6661,Отрицательное,-7000..-6001,3730,-2836
-118,Отрицательное,-1000..-1,3737,-2858
9674,Положительное,9000..10000,3746,-2867
-6034,Отрицательное,-7000..-6001,3764,-2910
8544,Положительное,8000..8999,3767,-2945
-8655,Отрицательное,-9000..-8001,3777,-2980
1377,Положительное,1000..1999,3813,-2990
7456,Положительное,7000..7999,3824,-2996
4037,Положительное,4000..4999,3825,-2998
2142,Положительное,2000..2999,3833,-3016
-7741,Отрицательное,-8000..-7001,3848,-3033
6579,Положительное,6000..6999,3861,-3050
1181,Положительное,1000..1999,3865,-3060
-9586,Отрицательное,-10000..-9001,3879,-3065
3764,Положительное,3000..3999,3879,-3086
6062,Положительное,6000..6999,3930,-3087
-6542,Отрицательное,-7000..-6001,3931,-3099
4205,Положительное,4000..4999,3942,-3113
1868,Положительное,1000..1999,3983,-3117
5064,Положительное,5000..5999,4014,-3135
-4987,Отрицательное,-5000..-4001,4037,-3192
4270,Положительное,4000..4999,4038,-3223
-4229,Отрицательное,-5000..-4001,4044,-3307
7096,Положительное,7000..7999,4051,-3329
-1150,Отрицательное,-2000..-1001,4083,-3330
7634,Положительное,7000..7999,4086,-3409
5843,Положительное,5000..5999,4124,-3461
5232,Положительное,5000..5999,4132,-3468
4272,Положительное,4000..4999,4156,-3475
9414,Положительное,9000..10000,4205,-3483
-1206,Отрицательное,-2000..-1001,4239,-3485
561,Положительное,0..999,4246,-3502
-1956,Отрицательное,-2000..-1001,4270,-3518
-7161,Отрицательное,-8000..-7001,4272,-3544
-861,Отрицательное,-1000..-1,4281,-3629
4771,Положительное,4000..4999,4283,-3640
-2010,Отрицательное,-3000..-2001,4288,-3672
5227,Положительное,5000..5999,4299,-3690
8672,Положительное,8000..8999,4344,-3700
9999,Положительное,9000..10000,4355,-3714
2418,Положительное,2000..2999,4356,-3722
1023,Положительное,1000..1999,4358,-3724
-9060,Отрицательное,-10000..-9001,4390,-3740
6197,Положительное,6000..6999,4413,-3755
650,Положительное,0..999,4433,-3761
-4042,Отрицательное,-5000..-4001,4476,-3768
5976,Положительное,5000..5999,4478,-3772
-3050,Отрицательное,-4000..-3001,4484,-3778
1626,Положительное,1000..1999,4488,-3854
-1535,Отрицательное,-2000..-1001,4490,-3911
1152,Положительное,1000..1999,4502,-3934
-837,Отрицательное,-1000..-1,4507,-3959
9534,Положительное,9000..10000,4520,-3988
-948,Отрицательное,-1000..-1,4611,-4042
8212,Положительное,8000..8999,4632,-4046
-9668,Отрицательное,-10000..-9001,4685,-4053
6928,Положительное,6000..6999,4700,-4121
-3740,Отрицательное,-4000..-3001,4719,-4123
-7195,Отрицательное,-8000..-7001,4747,-4146
-2092,Отрицательное,-3000..-2001,4762,-4149
3317,Положительное,3000..3999,4762,-4199
6009,Положительное,6000..6999,4771,-4229
8192,Положительное,8000..8999,4794,-4237
-2126,Отрицательное,-3000..-2001,4857,-4260
5600,Положительное,5000..5999,4867,-4298
6083,Положительное,6000..6999,4868,-4305
4685,Положительное,4000..4999,4877,-4393
-9435,Отрицательное,-10000..-9001,4899,-4440
-6951,Отрицательное,-7000..-6001,4903,-4502
-359,Отрицательное,-1000..-1,4909,-4551
-2739,Отрицательное,-3000..-2001,4920,-4564
3251,Положительное,3000..3999,4923,-4590
-2028,Отрицательное,-3000..-2001,4957,-4592
33,Положительное,0..999,4967,-4606
9056,Положительное,9000..10000,4982,-4634
2092,Положительное,2000..2999,5017,-4646
5507,Положительное,5000..5999,5035,-4671
8136,Положительное,8000..8999,5054,-4676
7397,Положительное,7000..7999,5064,-4706
1264,Положительное,1000..1999,5083,-4707
3942,Положительное,3000..3999,5120,-4731
8035,Положительное,8000..8999,5128,-4758
839,Положительное,0..999,5138,-4769
1528,Положительное,1000..1999,5147,-4784
4868,Положительное,4000..4999,5159,-4785
-1123,Отрицательное,-2000..-1001,5222,-4811
47,Положительное,0..999,5225,-4818
-1763,Отрицательное,-2000..-1001,5227,-4831
-2446,Отрицательное,-3000..-2001,5232,-4842
-6047,Отрицательное,-7000..-6001,5236,-4854
-3690,Отрицательное,-4000..-3001,5238,-4871
339,Положительное,0..999,5267,-4906
-6083,Отрицательное,-7000..-6001,5303,-4907
7559,Положительное,7000..7999,5315,-4928
-3934,Отрицательное,-4000..-3001,5337,-4936
-3724,Отрицательное,-4000..-3001,5358,-4955
-2910,Отрицательное,-3000..-2001,5381,-4987
5866,Положительное,5000..5999,5398,-4992
-940,Отрицательное,-1000..-1,5401,-4992
9319,Положительное,9000..10000,5411,-4993
7191,Положительное,7000..7999,5417,-5007
9555,Положительное,9000..10000,5423,-5029
-727,Отрицательное,-1000..-1,5473,-5058
-6706,Отрицательное,-7000..-6001,5488,-5112
-3640,Отрицательное,-4000..-3001,5498,-5116
-293,Отрицательное,-1000..-1,5505,-5118
-2546,Отрицательное,-3000..-2001,5507,-5131
1825,Положительное,1000..1999,5517,-5148
-4121,Отрицательное,-5000..-4001,5554,-5165
-96,Отрицательное,-1000..-1,5569,-5172
-9537,Отрицательное,-10000..-9001,5574,-5261
7502,Положительное,7000..7999,5600,-5319
-5853,Отрицательное,-6000..-5001,5623,-5340
-1012,Отрицательное,-2000..-1001,5629,-5407
-8509,Отрицательное,-9000..-8001,5654,-5425
-8214,Отрицательное,-9000..-8001,5686,-5428
8132,Положительное,8000..8999,5773,-5466
-428,Отрицательное,-1000..-1,5810,-5468
-5863,Отрицательное,-6000..-5001,5843,-5527
6085,Положительное,6000..6999,5866,-5554
-6639,Отрицательное,-7000..-6001,5870,-5600
-9599,Отрицательное,-10000..-9001,5879,-5631
8810,Положительное,8000..8999,5883,-5660
-683,Отрицательное,-1000..-1,5906,-5665
5381,Положительное,5000..5999,5913,-5707
5686,Положительное,5000..5999,5913,-5712
4433,Положительное,4000..4999,5924,-5714
1164,Положительное,1000..1999,5947,-5793
-3959,Отрицательное,-4000..-3001,5976,-5818
-8317,Отрицательное,-9000..-8001,5998,-5824
-1727,Отрицательное,-2000..-1001,6008,-5830
5654,Положительное,5000..5999,6009,-5853
-6262,Отрицательное,-7000..-6001,6010,-5863
-7859,Отрицательное,-8000..-7001,6044,-5864
3130,Положительное,3000..3999,6062,-5880
6113,Положительное,6000..6999,6083,-5910
-7573,Отрицательное,-8000..-7001,6085,-5917
8907,Положительное,8000..8999,6112,-5926
-8244,Отрицательное,-9000..-8001,6113,-6022
-5029,Отрицательное,-6000..-5001,6171,-6024
-5112,Отрицательное,-6000..-5001,6180,-6034
8443,Положительное,8000..8999,6197,-6035
-44,Отрицательное,-1000..-1,6199,-6047
-7209,Отрицательное,-8000..-7001,6235,-6072
-1868,Отрицательное,-2000..-1001,6330,-6083
-6119,Отрицательное,-7000..-6001,6334,-6119
8286,Положительное,8000..8999,6358,-6151
3637,Положительное,3000..3999,6399,-6202
9867,Положительное,9000..10000,6403,-6211
9533,Положительное,9000..10000,6477,-6218
-2605,Отрицательное,-3000..-2001,6540,-6221
7123,Положительное,7000..7999,6559,-6240
2464,Положительное,2000..2999,6561,-6247
4762,Положительное,4000..4999,6576,-6247
4507,Положительное,4000..4999,6579,-6252
-257,Отрицательное,-1000..-1,6617,-6262
9284,Положительное,9000..10000,6635,-6283
4051,Положительное,4000..4999,6635,-6335
6,Положительное,0..999,6637,-6335
8632,Положительное,8000..8999,6640,-6345
-8027,Отрицательное,-9000..-8001,6654,-6352
9976,Положительное,9000..10000,6674,-6408
-6749,Отрицательное,-7000..-6001,6692,-6420
-3192,Отрицательное,-4000..-3001,6696,-6448
-3086,Отрицательное,-4000..-3001,6750,-6458
-1329,Отрицательное,-2000..-1001,6758,-6458
-7340,Отрицательное,-8000..-7001,6847,-6493
-4854,Отрицательное,-5000..-4001,6862,-6508
-2141,Отрицательное,-3000..-2001,6890,-6514
-4305,Отрицательное,-5000..-4001,6928,-6542
8087,Положительное,8000..8999,6959,-6573
-7541,Отрицательное,-8000..-7001,6972,-6606
-4871,Отрицательное,-5000..-4001,6988,-6632
-9913,Отрицательное,-10000..-9001,7005,-6639
3386,Положительное,3000..3999,7036,-6642
4762,Положительное,4000..4999,7081,-6651
9458,Положительное,9000..10000,7096,-6661
5398,Положительное,5000..5999,7123,-6691
-457,Отрицательное,-1000..-1,7130,-6706
-8931,Отрицательное,-9000..-8001,7191,-6724
-2415,Отрицательное,-3000..-2001,7290,-6749
-560,Отрицательное,-1000..-1,7332,-6776
-736,Отрицательное,-1000..-1,7338,-6792
4877,Положительное,4000..4999,7378,-6824
-7668,Отрицательное,-8000..-7001,7397,-6831
-2352,Отрицательное,-3000..-2001,7403,-6910
-1332,Отрицательное,-2000..-1001,7404,-6930
9326,Положительное,9000..10000,7455,-6940
-3518,Отрицательное,-4000..-3001,7456,-6944
3930,Положительное,3000..3999,7502,-6946
-6240,Отрицательное,-7000..-6001,7502,-6951
7844,Положительное,7000..7999,7502,-6961
-2634,Отрицательное,-3000..-2001,7559,-6976
-5118,Отрицательное,-6000..-5001,7570,-7008
-1296,Отрицательное,-2000..-1001,7571,-7011
-5340,Отрицательное,-6000..-5001,7573,-7022
-7661,Отрицательное,-8000..-7001,7595,-7115
-8046,Отрицательное,-9000..-8001,7617,-7152
-4564,Отрицательное,-5000..-4001,7634,-7161
79,Положительное,0..999,7636,-7194
9498,Положительное,9000..10000,7643,-7195
8651,Положительное,8000..8999,7648,-7209
-543,Отрицательное,-1000..-1,7661,-7222
4390,Положительное,4000..4999,7669,-7250
-5926,Отрицательное,-6000..-5001,7671,-7314
5358,Положительное,5000..5999,7674,-7317
-36,Отрицательное,-1000..-1,7675,-7340
3189,Положительное,3000..3999,7694,-7360
-1080,Отрицательное,-2000..-1001,7699,-7365
6399,Положительное,6000..6999,7713,-7375
7694,Положительное,7000..7999,7766,-7386
6180,Положительное,6000..6999,7779,-7418
4344,Положительное,4000..4999,7780,-7420
-7365,Отрицательное,-8000..-7001,7800,-7462
9596,Положительное,9000..10000,7807,-7510
-8694,Отрицательное,-9000..-8001,7844,-7530
4156,Положительное,4000..4999,7856,-7535
561,Положительное,0..999,7870,-7541
9782,Положительное,9000..10000,7877,-7573
-1796,Отрицательное,-2000..-1001,7895,-7600
-9153,Отрицательное,-10000..-9001,7952,-7614
-7008,Отрицательное,-8000..-7001,7954,-7623
-2499,Отрицательное,-3000..-2001,7996,-7661
8848,Положительное,8000..8999,8015,-7661
9238,Положительное,9000..10000,8025,-7668
-9321,Отрицательное,-10000..-9001,8033,-7674
-1169,Отрицательное,-2000..-1001,8035,-7679
8882,Положительное,8000..8999,8049,-7708
-8682,Отрицательное,-9000..-8001,8063,-7713
-4260,Отрицательное,-5000..-4001,8077,-7721
5417,Положительное,5000..5999,8085,-7726
7005,Положительное,7000..7999,8087,-7733
4490,Положительное,4000..4999,8089,-7741
-886,Отрицательное,-1000..-1,8096,-7746
-4053,Отрицательное,-5000..-4001,8105,-7752
9180,Положительное,9000..10000,8128,-7755
4283,Положительное,4000..4999,8128,-7774
6112,Положительное,6000..6999,8132,-7792
-7011,Отрицательное,-8000..-7001,8136,-7832
5401,Положительное,5000..5999,8150,-7859
1401,Положительное,1000..1999,8166,-7896
3380,Положительное,3000..3999,8173,-7902
921,Положительное,0..999,8192,-7919
520,Положительное,0..999,8211,-7960
-6573,Отрицательное,-7000..-6001,8212,-8003
-4731,Отрицательное,-5000..-4001,8250,-8014
807,Положительное,0..999,8265,-8027
3488,Положительное,3000..3999,8286,-8046
6235,Положительное,6000..6999,8314,-8071
-556,Отрицательное,-1000..-1,8346,-8079
3122,Положительное,3000..3999,8379,-8084
8025,Положительное,8000..8999,8390,-8102
-8798,Отрицательное,-9000..-8001,8394,-8127
4903,Положительное,4000..4999,8443,-8137
-7115,Отрицательное,-8000..-7001,8448,-8168
306,Положительное,0..999,8480,-8214
-1730,Отрицательное,-2000..-1001,8493,-8224
593,Положительное,0..999,8521,-8225
-6202,Отрицательное,-7000..-6001,8544,-8244
3244,Положительное,3000..3999,8585,-8294
6862,Положительное,6000..6999,8591,-8309
-9963,Отрицательное,-10000..-9001,8632,-8317
7779,Положительное,7000..7999,8648,-8336
5138,Положительное,5000..5999,8651,-8343
3541,Положительное,3000..3999,8667,-8353
-8224,Отрицательное,-9000..-8001,8672,-8355
-3854,Отрицательное,-4000..-3001,8711,-8357
6988,Положительное,6000..6999,8810,-8457
1854,Положительное,1000..1999,8848,-8486
6334,Положительное,6000..6999,8863,-8499
4484,Положительное,4000..4999,8864,-8509
-8309,Отрицательное,-9000..-8001,8867,-8546
-3330,Отрицательное,-4000..-3001,8881,-8556
-1250,Отрицательное,-2000..-1001,8882,-8577
7996,Положительное,7000..7999,8893,-8630
-5707,Отрицательное,-6000..-5001,8907,-8655
-562,Отрицательное,-1000..-1,8918,-8681
4356,Положительное,4000..4999,8962,-8682
5883,Положительное,5000..5999,8970,-8693
-6022,Отрицательное,-7000..-6001,8978,-8694
-9055,Отрицательное,-10000..-9001,9002,-8698
9951,Положительное,9000..10000,9004,-8732
-2159,Отрицательное,-3000..-2001,9024,-8747
-4811,Отрицательное,-5000..-4001,9056,-8798
182,Положительное,0..999,9087,-8820
8049,Положительное,8000..8999,9121,-8931
-9552,Отрицательное,-10000..-9001,9125,-8949
8096,Положительное,8000..8999,9139,-8959
3369,Положительное,3000..3999,9142,-8971
-6946,Отрицательное,-7000..-6001,9155,-8984
-2638,Отрицательное,-3000..-2001,9180,-9024
-6283,Отрицательное,-7000..-6001,9232,-9049
5120,Положительное,5000..5999,9238,-9055
-6151,Отрицательное,-7000..-6001,9277,-9060
-4955,Отрицательное,-5000..-4001,9282,-9096
6330,Положительное,6000..6999,9284,-9112
-437,Отрицательное,-1000..-1,9309,-9117
6674,Положительное,6000..6999,9319,-9131
-1041,Отрицательное,-2000..-1001,9326,-9153
3614,Положительное,3000..3999,9349,-9159
5810,Положительное,5000..5999,9395,-9181
5473,Положительное,5000..5999,9401,-9188
-2014,Отрицательное,-3000..-2001,9414,-9200
4967,Положительное,4000..4999,9458,-9225
8063,Положительное,8000..8999,9481,-9311
-5261,Отрицательное,-6000..-5001,9498,-9321
2569,Положительное,2000..2999,9498,-9333
-3755,Отрицательное,-4000..-3001,9511,-9360
9640,Положительное,9000..10000,9526,-9362
6654,Положительное,6000..6999,9533,-9365
-5527,Отрицательное,-6000..-5001,9534,-9435
-7713,Отрицательное,-8000..-7001,9543,-9517
-948,Отрицательное,-1000..-1,9548,-9537
3596,Положительное,3000..3999,9555,-9552
1137,Положительное,1000..1999,9596,-9586
6637,Положительное,6000..6999,9626,-9599
-1246,Отрицательное,-2000..-1001,9640,-9624
-9916,Отрицательное,-10000..-9001,9674,-9668
-732,Отрицательное,-1000..-1,9726,-9684
-217,Отрицательное,-1000..-1,9767,-9695
9232,Положительное,9000..10000,9782,-9744
9002,Положительное,9000..10000,9782,-9765
6044,Положительное,6000..6999,9819,-9788
-5131,Отрицательное,-6000..-5001,9853,-9807
4632,Положительное,4000..4999,9864,-9819
7648,Положительное,7000..7999,9867,-9884
5870,Положительное,5000..5999,9876,-9894
1309,Положительное,1000..1999,9879,-9913
893,Положительное,0..999,9898,-9916
8085,Положительное,8000..8999,9951,-9930
7807,Положительное,7000..7999,9954,-9945
2360,Положительное,2000..2999,9960,-9963
4920,Положительное,4000..4999,9976,-9982
544,Положительное,0..999,9999,-9987
