Исходное значение,Округленное до сотен,Абсолютное значение,Знак,Диапазон
-8353,-8400,8353,Отрицательное,-9000..-8001
-1476,-1500,1476,Отрицательное,-2000..-1001
2422,2400,2422,Положительное,2000..2999
726,700,726,Положительное,0..999
-3065,-3100,3065,Отрицательное,-4000..-3001
4899,4900,4899,Положительное,4000..4999
710,700,710,Положительное,0..999
1059,1100,1059,Положительное,1000..1999
2423,2400,2423,Положительное,2000..2999
-883,-900,883,Отрицательное,-1000..-1
3813,3800,3813,Положительное,3000..3999
-1734,-1700,1734,Отрицательное,-2000..-1001
-7317,-7300,7317,Отрицательное,-8000..-7001
5411,5400,5411,Положительное,5000..5999
-9365,-9400,9365,Отрицательное,-10000..-9001
7675,7700,7675,Положительное,7000..7999
-8294,-8300,8294,Отрицательное,-9000..-8001
1467,1500,1467,Положительное,1000..1999
-2653,-2700,2653,Отрицательное,-3000..-2001
-7752,-7800,7752,Отрицательное,-8000..-7001
-8681,-8700,8681,Отрицательное,-9000..-8001
-8984,-9000,8984,Отрицательное,-9000..-8001
-1898,-1900,1898,Отрицательное,-2000..-1001
-3468,-3500,3468,Отрицательное,-4000..-3001
-9333,-9300,9333,Отрицательное,-10000..-9001
-5007,-5000,5007,Отрицательное,-6000..-5001
-2184,-2200,2184,Отрицательное,-3000..-2001
-5864,-5900,5864,Отрицательное,-6000..-5001
5517,5500,5517,Положительное,5000..5999
-6252,-6300,6252,Отрицательное,-7000..-6001
8480,8500,8480,Положительное,8000..8999
-2858,-2900,2858,Отрицательное,-3000..-2001
5238,5200,5238,Положительное,5000..5999
-1604,-1600,1604,Отрицательное,-2000..-1001
2087,2100,2087,Положительное,2000..2999
-4502,-4500,4502,Отрицательное,-5000..-4001
9853,9900,9853,Положительное,9000..10000
9898,9900,9898,Положительное,9000..10000
-6247,-6200,6247,Отрицательное,-7000..-6001
-4634,-4600,4634,Отрицательное,-5000..-4001
192,200,192,Положительное,0..999
-6458,-6500,6458,Отрицательное,-7000..-6001
8962,9000,8962,Положительное,8000..8999
-9159,-9200,9159,Отрицательное,-10000..-9001
222,200,222,Положительное,0..999
8867,8900,8867,Положительное,8000..8999
2298,2300,2298,Положительное,2000..2999
2997,3000,2997,Положительное,2000..2999
-3502,-3500,3502,Отрицательное,-4000..-3001
-7510,-7500,7510,Отрицательное,-8000..-7001
9401,9400,9401,Положительное,9000..10000
-2043,-2000,2043,Отрицательное,-3000..-2001
-6661,-6700,6661,Отрицательное,-7000..-6001
-118,-100,118,Отрицательное,-1000..-1
9674,9700,9674,Положительное,9000..10000
-6034,-6000,6034,Отрицательное,-7000..-6001
8544,8500,8544,Положительное,8000..8999
-8655,-8700,8655,Отрицательное,-9000..-8001
1377,1400,1377,Положительное,1000..1999
7456,7500,7456,Положительное,7000..7999
4037,4000,4037,Положительное,4000..4999
2142,2100,2142,Положительное,2000..2999
-7741,-7700,7741,Отрицательное,-8000..-7001
6579,6600,6579,Положительное,6000..6999
1181,1200,1181,Положительное,1000..1999
-9586,-9600,9586,Отрицательное,-10000..-9001
3764,3800,3764,Положительное,3000..3999
6062,6100,6062,Положительное,6000..6999
-6542,-6500,6542,Отрицательное,-7000..-6001
4205,4200,4205,Положительное,4000..4999
1868,1900,1868,Положительное,1000..1999
5064,5100,5064,Положительное,5000..5999
-4987,-5000,4987,Отрицательное,-5000..-4001
4270,4300,4270,Положительное,4000..4999
-4229,-4200,4229,Отрицательное,-5000..-4001
7096,7100,7096,Положительное,7000..7999
-1150,-1200,1150,Отрицательное,-2000..-1001
7634,7600,7634,Положительное,7000..7999
5843,5800,5843,Положительное,5000..5999
5232,5200,5232,Положительное,5000..5999
4272,4300,4272,Положительное,4000..4999
9414,9400,9414,Положительное,9000..10000
-1206,-1200,1206,Отрицательное,-2000..-1001
561,600,561,Положительное,0..999
-1956,-2000,1956,Отрицательное,-2000..-1001
-7161,-7200,7161,Отрицательное,-8000..-7001
-861,-900,861,Отрицательное,-1000..-1
4771,4800,4771,Положительное,4000..4999
-2010,-2000,2010,Отрицательное,-3000..-2001
5227,5200,5227,Положительное,5000..5999
8672,8700,8672,Положительное,8000..8999
9999,10000,9999,Положительное,9000..10000
2418,2400,2418,Положительное,2000..2999
1023,1000,1023,Положительное,1000..1999
-9060,-9100,9060,Отрицательное,-10000..-9001
6197,6200,6197,Положительное,6000..6999
650,600,650,Положительное,0..999
-4042,-4000,4042,Отрицательное,-5000..-4001
5976,6000,5976,Положительное,5000..5999
-3050,-3000,3050,Отрицательное,-4000..-3001
1626,1600,1626,Положительное,1000..1999
-1535,-1500,1535,Отрицательное,-2000..-1001
1152,1200,1152,Положительное,1000..1999
-837,-800,837,Отрицательное,-1000..-1
9534,9500,9534,Положительное,9000..10000
-948,-900,948,Отрицательное,-1000..-1
8212,8200,8212,Положительное,8000..8999
-9668,-9700,9668,Отрицательное,-10000..-9001
6928,6900,6928,Положительное,6000..6999
-3740,-3700,3740,Отрицательное,-4000..-3001
-7195,-7200,7195,Отрицательное,-8000..-7001
-2092,-2100,2092,Отрицательное,-3000..-2001
3317,3300,3317,Положительное,3000..3999
6009,6000,6009,Положительное,6000..6999
8192,8200,8192,Положительное,8000..8999
-2126,-2100,2126,Отрицательное,-3000..-2001
5600,5600,5600,Положительное,5000..5999
6083,6100,6083,Положительное,6000..6999
4685,4700,4685,Положительное,4000..4999
-9435,-9400,9435,Отрицательное,-10000..-9001
-6951,-7000,6951,Отрицательное,-7000..-6001
-359,-400,359,Отрицательное,-1000..-1
-2739,-2700,2739,Отрицательное,-3000..-2001
3251,3300,3251,Положительное,3000..3999
-2028,-2000,2028,Отрицательное,-3000..-2001
33,0,33,Положительное,0..999
9056,9100,9056,Положительное,9000..10000
2092,2100,2092,Положительное,2000..2999
5507,5500,5507,Положительное,5000..5999
8136,8100,8136,Положительное,8000..8999
7397,7400,7397,Положительное,7000..7999
1264,1300,1264,Положительное,1000..1999
3942,3900,3942,Положительное,3000..3999
8035,8000,8035,Положительное,8000..8999
839,800,839,Положительное,0..999
1528,1500,1528,Положительное,1000..1999
4868,4900,4868,Положительное,4000..4999
-1123,-1100,1123,Отрицательное,-2000..-1001
47,0,47,Положительное,0..999
-1763,-1800,1763,Отрицательное,-2000..-1001
-2446,-2400,2446,Отрицательное,-3000..-2001
-6047,-6000,6047,Отрицательное,-7000..-6001
-3690,-3700,3690,Отрицательное,-4000..-3001
339,300,339,Положительное,0..999
-6083,-6100,6083,Отрицательное,-7000..-6001
7559,7600,7559,Положительное,7000..7999
-3934,-3900,3934,Отрицательное,-4000..-3001
-3724,-3700,3724,Отрицательное,-4000..-3001
-2910,-2900,2910,Отрицательное,-3000..-2001
5866,5900,5866,Положительное,5000..5999
-940,-900,940,Отрицательное,-1000..-1
9319,9300,9319,Положительное,9000..10000
7191,7200,7191,Положительное,7000..7999
9555,9600,9555,Положительное,9000..10000
-727,-700,727,Отрицательное,-1000..-1
-6706,-6700,6706,Отрицательное,-7000..-6001
-3640,-3600,3640,Отрицательное,-4000..-3001
-293,-300,293,Отрицательное,-1000..-1
-2546,-2500,2546,Отрицательное,-3000..-2001
1825,1800,1825,Положительное,1000..1999
-4121,-4100,4121,Отрицательное,-5000..-4001
-96,-100,96,Отрицательное,-1000..-1
-9537,-9500,9537,Отрицательное,-10000..-9001
7502,7500,7502,Положительное,7000..7999
-5853,-5900,5853,Отрицательное,-6000..-5001
-1012,-1000,1012,Отрицательное,-2000..-1001
-8509,-8500,8509,Отрицательное,-9000..-8001
-8214,-8200,8214,Отрицательное,-9000..-8001
8132,8100,8132,Положительное,8000..8999
-428,-400,428,Отрицательное,-1000..-1
-5863,-5900,5863,Отрицательное,-6000..-5001
6085,6100,6085,Положительное,6000..6999
-6639,-6600,6639,Отрицательное,-7000..-6001
-9599,-9600,9599,Отрицательное,-10000..-9001
8810,8800,8810,Положительное,8000..8999
-683,-700,683,Отрицательное,-1000..-1
5381,5400,5381,Положительное,5000..5999
5686,5700,5686,Положительное,5000..5999
4433,4400,4433,Положительное,4000..4999
1164,1200,1164,Положительное,1000..1999
-3959,-4000,3959,Отрицательное,-4000..-3001
-8317,-8300,8317,Отрицательное,-9000..-8001
-1727,-1700,1727,Отрицательное,-2000..-1001
5654,5700,5654,Положительное,5000..5999
-6262,-6300,6262,Отрицательное,-7000..-6001
-7859,-7900,7859,Отрицательное,-8000..-7001
3130,3100,3130,Положительное,3000..3999
6113,6100,6113,Положительное,6000..6999
-7573,-7600,7573,Отрицательное,-8000..-7001
8907,8900,8907,Положительное,8000..8999
-8244,-8200,8244,Отрицательное,-9000..-8001
-5029,-5000,5029,Отрицательное,-6000..-5001
-5112,-5100,5112,Отрицательное,-6000..-5001
8443,8400,8443,Положительное,8000..8999
-44,0,44,Отрицательное,-1000..-1
-7209,-7200,7209,Отрицательное,-8000..-7001
-1868,-1900,1868,Отрицательное,-2000..-1001
-6119,-6100,6119,Отрицательное,-7000..-6001
8286,8300,8286,Положительное,8000..8999
3637,3600,3637,Положительное,3000..3999
9867,9900,9867,Положительное,9000..10000
9533,9500,9533,Положительное,9000..10000
-2605,-2600,2605,Отрицательное,-3000..-2001
7123,7100,7123,Положительное,7000..7999
2464,2500,2464,Положительное,2000..2999
4762,4800,4762,Положительное,4000..4999
4507,4500,4507,Положительное,4000..4999
-257,-300,257,Отрицательное,-1000..-1
9284,9300,9284,Положительное,9000..10000
4051,4100,4051,Положительное,4000..4999
6,0,6,Положительное,0..999
8632,8600,8632,Положительное,8000..8999
-8027,-8000,8027,Отрицательное,-9000..-8001
9976,10000,9976,Положительное,9000..10000
-6749,-6700,6749,Отрицательное,-7000..-6001
-3192,-3200,3192,Отрицательное,-4000..-3001
-3086,-3100,3086,Отрицательное,-4000..-3001
-1329,-1300,1329,Отрицательное,-2000..-1001
-7340,-7300,7340,Отрицательное,-8000..-7001
-4854,-4900,4854,Отрицательное,-5000..-4001
-2141,-2100,2141,Отрицательное,-3000..-2001
-4305,-4300,4305,Отрицательное,-5000..-4001
8087,8100,8087,Положительное,8000..8999
-7541,-7500,7541,Отрицательное,-8000..-7001
-4871,-4900,4871,Отрицательное,-5000..-4001
-9913,-9900,9913,Отрицательное,-10000..-9001
3386,3400,3386,Положительное,3000..3999
4762,4800,4762,Положительное,4000..4999
9458,9500,9458,Положительное,9000..10000
5398,5400,5398,Положительное,5000..5999
-457,-500,457,Отрицательное,-1000..-1
-8931,-8900,8931,Отрицательное,-9000..-8001
-2415,-2400,2415,Отрицательное,-3000..-2001
-560,-600,560,Отрицательное,-1000..-1
-736,-700,736,Отрицательное,-1000..-1
4877,4900,4877,Положительное,4000..4999
-7668,-7700,7668,Отрицательное,-8000..-7001
-2352,-2400,2352,Отрицательное,-3000..-2001
-1332,-1300,1332,Отрицательное,-2000..-1001
9326,9300,9326,Положительное,9000..10000
-3518,-3500,3518,Отрицательное,-4000..-3001
3930,3900,3930,Положительное,3000..3999
-6240,-6200,6240,Отрицательное,-7000..-6001
7844,7800,7844,Положительное,7000..7999
-2634,-2600,2634,Отрицательное,-3000..-2001
-5118,-5100,5118,Отрицательное,-6000..-5001
-1296,-1300,1296,Отрицательное,-2000..-1001
-5340,-5300,5340,Отрицательное,-6000..-5001
-7661,-7700,7661,Отрицательное,-8000..-7001
-8046,-8000,8046,Отрицательное,-9000..-8001
-4564,-4600,4564,Отрицательное,-5000..-4001
79,100,79,Положительное,0..999
9498,9500,9498,Положительное,9000..10000
8651,8700,8651,Положительное,8000..8999
-543,-500,543,Отрицательное,-1000..-1
4390,4400,4390,Положительное,4000..4999
-5926,-5900,5926,Отрицательное,-6000..-5001
5358,5400,5358,Положительное,5000..5999
-36,0,36,Отрицательное,-1000..-1
3189,3200,3189,Положительное,3000..3999
-1080,-1100,1080,Отрицательное,-2000..-1001
6399,6400,6399,Положительное,6000..6999
7694,7700,7694,Положительное,7000..7999
6180,6200,6180,Положительное,6000..6999
4344,4300,4344,Положительное,4000..4999
-7365,-7400,7365,Отрицательное,-8000..-7001
9596,9600,9596,Положительное,9000..10000
-8694,-8700,8694,Отрицательное,-9000..-8001
4156,4200,4156,Положительное,4000..4999
561,600,561,Положительное,0..999
9782,9800,9782,Положительное,9000..10000
-1796,-1800,1796,Отрицательное,-2000..-1001
-9153,-9200,9153,Отрицательное,-10000..-9001
-7008,-7000,7008,Отрицательное,-8000..-7001
-2499,-2500,2499,Отрицательное,-3000..-2001
8848,8800,8848,Положительное,8000..8999
9238,9200,9238,Положительное,9000..10000
-9321,-9300,9321,Отрицательное,-10000..-9001
-1169,-1200,1169,Отрицательное,-2000..-1001
8882,8900,8882,Положительное,8000..8999
-8682,-8700,8682,Отрицательное,-9000..-8001
-4260,-4300,4260,Отрицательное,-5000..-4001
5417,5400,5417,Положительное,5000..5999
7005,7000,7005,Положительное,7000..7999
4490,4500,4490,Положительное,4000..4999
-886,-900,886,Отрицательное,-1000..-1
-4053,-4100,4053,Отрицательное,-5000..-4001
9180,9200,9180,Положительное,9000..10000
4283,4300,4283,Положительное,4000..4999
6112,6100,6112,Положительное,6000..6999
-7011,-7000,7011,Отрицательное,-8000..-7001
5401,5400,5401,Положительное,5000..5999
1401,1400,1401,Положительное,1000..1999
3380,3400,3380,Положительное,3000..3999
921,900,921,Положительное,0..999
520,500,520,Положительное,0..999
-6573,-6600,6573,Отрицательное,-7000..-6001
-4731,-4700,4731,Отрицательное,-5000..-4001
807,800,807,Положительное,0..999
3488,3500,3488,Положительное,3000..3999
6235,6200,6235,Положительное,6000..6999
-556,-600,556,Отрицательное,-1000..-1
3122,3100,3122,Положительное,3000..3999
8025,8000,8025,Положительное,8000..8999
-8798,-8800,8798,Отрицательное,-9000..-8001
4903,4900,4903,Положительное,4000..4999
-7115,-7100,7115,Отрицательное,-8000..-7001
306,300,306,Положительное,0..999
-1730,-1700,1730,Отрицательное,-2000..-1001
593,600,593,Положительное,0..999
-6202,-6200,6202,Отрицательное,-7000..-6001
3244,3200,3244,Положительное,3000..3999
6862,6900,6862,Положительное,6000..6999
-9963,-10000,9963,Отрицательное,-10000..-9001
7779,7800,7779,Положительное,7000..7999
5138,5100,5138,Положительное,5000..5999
3541,3500,3541,Положительное,3000..3999
-8224,-8200,8224,Отрицательное,-9000..-8001
-3854,-3900,3854,Отрицательное,-4000..-3001
6988,7000,6988,Положительное,6000..6999
1854,1900,1854,Положительное,1000..1999
6334,6300,6334,Положительное,6000..6999
4484,4500,4484,Положительное,4000..4999
-8309,-8300,8309,Отрицательное,-9000..-8001
-3330,-3300,3330,Отрицательное,-4000..-3001
-1250,-1200,1250,Отрицательное,-2000..-1001
7996,8000,7996,Положительное,7000..7999
-5707,-5700,5707,Отрицательное,-6000..-5001
-562,-600,562,Отрицательное,-1000..-1
4356,4400,4356,Положительное,4000..4999
5883,5900,5883,Положительное,5000..5999
-6022,-6000,6022,Отрицательное,-7000..-6001
-9055,-9100,9055,Отрицательное,-10000..-9001
9951,10000,9951,Положительное,9000..10000
-2159,-2200,2159,Отрицательное,-3000..-2001
-4811,-4800,4811,Отрицательное,-5000..-4001
182,200,182,Положительное,0..999
8049,8000,8049,Положительное,8000..8999
-9552,-9600,9552,Отрицательное,-10000..-9001
8096,8100,8096,Положительное,8000..8999
3369,3400,3369,Положительное,3000..3999
-6946,-6900,6946,Отрицательное,-7000..-6001
-2638,-2600,2638,Отрицательное,-3000..-2001
-6283,-6300,6283,Отрицательное,-7000..-6001
5120,5100,5120,Положительное,5000..5999
-6151,-6200,6151,Отрицательное,-7000..-6001
-4955,-5000,4955,Отрицательное,-5000..-4001
6330,6300,6330,Положительное,6000..6999
-437,-400,437,Отрицательное,-1000..-1
6674,6700,6674,Положительное,6000..6999
-1041,-1000,1041,Отрицательное,-2000..-1001
3614,3600,3614,Положительное,3000..3999
5810,5800,5810,Положительное,5000..5999
5473,5500,5473,Положительное,5000..5999
-2014,-2000,2014,Отрицательное,-3000..-2001
4967,5000,4967,Положительное,4000..4999
8063,8100,8063,Положительное,8000..8999
-5261,-5300,5261,Отрицательное,-6000..-5001
2569,2600,2569,Положительное,2000..2999
-3755,-3800,3755,Отрицательное,-4000..-3001
9640,9600,9640,Положительное,9000..10000
6654,6700,6654,Положительное,6000..6999
-5527,-5500,5527,Отрицательное,-6000..-5001
-7713,-7700,7713,Отрицательное,-8000..-7001
-948,-900,948,Отрицательное,-1000..-1
3596,3600,3596,Положительное,3000..3999
1137,1100,1137,Положительное,1000..1999
6637,6600,6637,Положительное,6000..6999
-1246,-1200,1246,Отрицательное,-2000..-1001
-9916,-9900,9916,Отрицательное,-10000..-9001
-732,-700,732,Отрицательное,-1000..-1
-217,-200,217,Отрицательное,-1000..-1
9232,9200,9232,Положительное,9000..10000
9002,9000,9002,Положительное,9000..10000
6044,6000,6044,Положительное,6000..6999
-5131,-5100,5131,Отрицательное,-6000..-5001
4632,4600,4632,Положительное,4000..4999
7648,7600,7648,Положительное,7000..7999
5870,5900,5870,Положительное,5000..5999
1309,1300,1309,Положительное,1000..1999
893,900,893,Положительное,0..999
8085,8100,8085,Положительное,8000..8999
7807,7800,7807,Положительное,7000..7999
2360,2400,2360,Положительное,2000..2999
4920,4900,4920,Положительное,4000..4999
544,500,544,Положительное,0..999
